ID,Title,alternative form,alternative form,alternative form,Type,persons (lookup)
TIT2242makwan,mäkwännǝnä ǝndärta,,,,office,
TIT2243makwan,mäkwännǝnä hagär,,,,office,
TIT2244malaaq,malaaq,,,,office,
TIT2245malakd,mäläk dänzo,,,,title,
TIT2246malaka,mälʾakä bǝrhan,,,,title,
TIT2247malaka,mälʾakä bǝrhanat,,,,title,
TIT2248malaka,mälʾakä Ǝsraʾel,,,,title,
TIT2249malaka,mälʾakä gännät,,,,title,
TIT2250malaka,mälʾakä ḍäḥay,,,,title,
TIT2251malaka,mälʾakä sälam,,,,title,
TIT2252malaka,mälʾakä särawit,,,,title,
TIT2253malaka,mälʾakä ʿuqabe,,,,rel.,
TIT2254malaq,malāq,,,,office,
TIT2255malik,malik,,,,title,
TIT2256malika,malika,,,,title,
TIT2257mamher,mämhǝr,mämhǝran,,,eccl.,
TIT2258mangi,manǧi,,,,title,
TIT2259mangil,manǧīl,,,,title,
TIT2260maqeta,mäqet azmač,,,,off.,
TIT2261mar,mar,,,,title,
TIT2262mareda,märǝd azmač,märǝd azmati,,,title,
TIT2263marige,märigeta,,,,office,
TIT2264matoal,mäto aläqa,,,,mil.,
TIT2265mek,mek,,,,title,
TIT2266mekett,mǝkǝttǝl afä nǝguś,,,,office,
TIT2267mekett,mǝkǝttǝl aggafari,,,,office,
TIT2268meslan,mǝsläne,,,,title,
TIT2269mkrb,mkrb,,,,title,
TIT2270mlkn,mlk(n),,,,title,
TIT2271moote,moote,,,,title,
TIT2272mooti,mooti,,,,title,
TIT2273muaddi,muʾaḏḏin,,,,off.,
TIT2274mualli,muʿallim,,,,off.,
TIT2275mufti,muftī,,,,off.,
TIT2276muhadd,muḥaddiṯ al-ʿaṣr,,,,title,
TIT2277muhafi,muḥāfiẓ,,,,off.,
TIT2278mukarr,mukarrib,,,,title,
TIT2279mulube,mulu-bet aggafari,,,,title,
TIT2280muntaz,muntaz,,,,mil.,
TIT2281muse,muse,,,,address term,
TIT2282nagas,nägaš,,,,title,
TIT2283nagasi,naǧāšī,,,,pol.,
TIT2284nagasi,nägaśi,,,,pol.,
TIT2285naib,nāʾib,,,,title,
TIT2286naibal,nāʾib al-baḥr,,,,title,
TIT2287naotat,naʾotato,,,,title,
TIT2288nazir,nāẓir,,,,off.,
TIT2289nebura,nǝburä ǝd,,,,office,
TIT2290nefqad,nǝfqä diyaqon,,,,office,
TIT2291negest,nǝgǝśt,,,,,
TIT2292negest,nǝgǝśtä nägäśtat,,,,title,
TIT2293negus,nǝguś,,,,title,
TIT2294negusa,nǝguśä Aksum,,,,title,
TIT2295negusa,nǝguśä amḥara,,,,title,
TIT2296negusa,nǝguśä nägäśt,,,,title,
TIT2297nykuku,nykuku,,,,off.,
TIT2298obboo,obboo,obo,,,title,
TIT2299ona,ʿona,,,,title,
TIT2300oydugi,oydu ginda,,,,off.,
TIT2301pappas,ṗaṗṗas,,,,off.,
TIT2302qadhi,qāḍī,,,,jur. off.,
TIT2303qadhia,qāḍī al-quḍāt,,,,title,
TIT2304qalada,qalä däbtära,,,,off.,
TIT2305qalaha,qalä ḥaḍe,,,,off.,
TIT2306qalane,qalä nǝguś,,,,off.,
TIT2307qalapa,qalä ṗaṗṗas,,,,off.,
TIT2308qalada,qäläd agär,,,,adm.,
TIT2309qalamm,qalam masbar,,,,acad.,
TIT2310qannaz,qäññ azzaž,,,,office,
TIT2311qannba,qäññ bäʿaltiḥat,,,,queen,
TIT2312qanned,qäññ ǝdug ras,,,,title,
TIT2313qannge,qäññ geta,,,,title,
TIT2314qannwa,qäññ wämbär,,,,office,
TIT2315qannaz,qäññazmač,,,,title,
TIT2316qasis,qäsis,qäšši,qes,,eccl.,
TIT2317qat,qaṭ,qaṣo,qwaṭ,qaṣ,title,
TIT2318qawami,qäwami,,,,title,
TIT2319qawot,qawot,,,,chief,
TIT2320qeneaw,qǝne ʿawadi,,,,title,
TIT2321qeneza,qǝne zärafi,,,,title,
TIT2322qes,qes,,,,off.,
TIT2323qeshad,qes ḥaḍe,,,,office,
TIT2324qesaga,qesä gäbäz,,,,office,
TIT2325qwalla,qwälla šum,,,,title,
TIT2326rabban,räbbanä däbr,,,,title,
TIT2327rabban,räbbanat maḫlet,,,,title,
TIT2328rabbi,rabbi,,,,rel.,
TIT2329rade,rädǝʾ,,,,title,
