ID,Place,Place,Place,Coordinates,Type,Region,Texts related (lookup),MSS related (lookup)
LOC1368Aman,Aman,,,,pl.n.,,,
LOC1369Amanue,Amanuʾel Maʿagwä,,,,mon.,,,
LOC1370AmaraS,Amara Sayǝnt,,,,reg.,,,
LOC1371Amarna,Amarna,,,,pl.n.,,,
LOC1372Amarro,Amarro,,,,mt.,,,
LOC1373Amarro,Amarro Kelle,,,,pl.n.,,,
LOC1374Amart,Amart,,,,mt.,,,
LOC1375AmaSi,ʿAmäṣi,,,,pl.n.,,,
LOC1376Amatar,Amatäre,,,,pl.n.,Massawa,,
LOC1377Amawte,Amawte,,,,agär,,,
LOC1378AmayaW,Amäya Waliso,,,,pl.n.,,,
LOC1379AmbaAb,Amba Abba Gärima,,,,mt.,,,
LOC1380AmbaAr,Amba Aradom,,,,mt.,,,
LOC1381AmbaBa,Amba Barya,,,,arch. site,,,
LOC1382AmbaCa,Amba Čara,Anba Ḉara,,,mt.,,,
LOC1383AmbaDa,Amba Dära,,,,mt.,,,
LOC1384AmbaEn,Amba Ǝnda Ṣǝyon,,,,mt.,,,
LOC1385AmbaEn,Amba Ǝnnäwari,,,,mt.,,,
LOC1386AmbaEs,Amba Ǝsraʾel,,,,mt.,,,
LOC1387AmbaFa,Amba Farit,,,,mt.,,,
LOC1388AmbaFo,Amba Foqäda,,,,arch. site,,,
LOC1389AmbaGa,Amba Gälila,,,,ʿAdwa,,,
LOC1390AmbaGe,Amba Gǝšän,,,,mt.,,,
LOC1391AmbaGe,Amba Gǝšän Maryam,Däbrä Kärbe,,,mon.,,,
LOC1392AmbaGu,Amba Gurrele,,,,reg.,,,
LOC1393AmbaHa,Amba Hay,,,,mt.,,,
LOC1394AmbaLe,Amba Lǝgot,,,,mt.,,,
LOC1395AmbaMi,Amba Misraba,,,,reg.,,,
LOC1396AmbaNa,Amba Nad,,,,anc.,,,
LOC1397AmbaNa,Amba Nägäśt,,,,mt.,,,
LOC1398AmbaSa,Amba Sälama,,,,mt.,,,
LOC1399AmbaSa,Amba Ṣälläre,,,,mt.,,,
LOC1400AmbaSa,Amba Śännayti,Amba Sänayti,,,mt.,,,
LOC1401AmbaSe,Amba Sǝnit,,,,mt.,,,
LOC1402AmbaSe,Amba Śǝllase,,,,mt.,,,
LOC1403AmbaSo,Amba Šoloda,,,,mt.,,,
LOC1404AmbaSo,Amba Soyra,,,,mt.,,,
LOC1405AmbaTa,Amba Täriqa,,,,mt.,,,
LOC1406AmbaTa,Amba Tazzan,,,,fort,,,
LOC1407AmbaWa,Amba Wasäl,,,,mt.,,,
LOC1408AmbaZe,Amba Zǝban,,,,mt.,,,
LOC1409Ambabb,Ambabbo,,,,pl.n.,,,
LOC1410Ambala,Ambalage,Amba Alaǧi,,,mt.,,,
LOC1411Ambari,Ambäriččo,,,,mt.,,,
LOC1412Ambase,Ambasǝya,,,,settl.,,,
LOC1413Ambass,Ambassäl,,,,mt.,,,
LOC1414AmbayD,Ambay Däqa,,,,reg.,,,
LOC1415Ambo,Ambo,,,,spring,,,
LOC1416Ambo,Ambo,Hagärä Ḥǝywät,,,town,,,
LOC1417Amboba,Ambobär,,,,settl.,,,
LOC1418Amboro,Amboro,,,,town,,,
LOC1419AmdaSe,ʿAmdä Ṣǝyon,,,,reg.,,,
LOC1420AmdaWa,ʿAmdä Wärq,,,,mt.,,,
LOC1421Amer,ʿAmǝr,,,,plateau,,,
LOC1422Ameya,Ameya,,,,town,,,
LOC1423Amfal,Amfal,,,,town,,,
LOC1424Amfill,Amfilla,Ḥaffalé,,,reg.,,,
LOC1425Amhar,Amhar,,,,mt.,,,
LOC1426Amhara,Amhara,Amara,,,reg.,,,
LOC1427Amhara,Amhara Sayǝnt,,,,reg.,,,
LOC1428Amhara,Amharayge,,,,pl.n.,,,
LOC1429Amid,Amid,,,,town,,,
LOC1430Amidib,Amidib,,,,town,,,
LOC1431Amman,Amman,,,,town,,,
LOC1432Amonat,Amonat,,,,pl.n.,,,
LOC1433AmoraG,Amora Gadal,,,,reg.,,,
LOC1434Amster,Amsterdam,,,,town,,,
