ID,Title 1,Title 2,Author,Author ID,MSS related (lookup)
LIT1212Belseg,Bǝlṣǝgǝnna bägǝbǝrǝnna,,Wäldä Giyorgis,,
LIT1213Benedi,Benedictus,Song of Zechariah,,,
LIT1214Beresh,Bereshid Rabbah,,,,
LIT1215Berhan,Bǝrhanä ḫǝllina,,Käbbädä Mikaʾel,,
LIT1216Berram,Bǝrr ambar säbbärälwo,,Bǝrhanu Zäryǝhun,,
LIT1217betale,betä lǝḥem zema,betälǝḥem zema,,,
LIT1218Bedeet,"Bǝḍǝʿǝt anti, hymn",,,,
LIT1219Bible,Bible,Holy Scripture,,,
LIT1220Bookof,Book of Samuel,,,,
LIT1221Bookof,Book of the Wise Philosophers,,,,
LIT1222Canons,Canons after the Ascension of Our Lord,,,,
LIT1223Canons,Canons of Cyril III ibn Laqlaq,,,,
LIT1224Canons,"Canons of Eusebios,Canon tables",,,,
LIT1225Canons,Canons of Hippolytus,,,,
LIT1226Canons,Canons of Nicaea,"Canons of Church Fathers, Canons of the Nicean Fathers",,,
LIT1227Canons,Canons of Shenute,,,,
LIT1228Canons,Canons of Simon the Canaanite,,,,
LIT1229Cantat,Cantate Domino,Bull of Union,,,
LIT1230Cantip,Canti popolari tigrai,,Conti Rossini,,
LIT1231Cantic,Cantici di Sion,,,,
LIT1232Cantic,Canticle of the Three Youths in the Furnace,,,,
LIT1233Cantic,Canticles,,,,
LIT1234Catena,Catena Commentary on the Gospel,,,,
LIT1235Cathed,Cathedral Homilies,,Severos,,
LIT1236Caveof,Cave of Treasures,Mʿarraṯ gazzē,,,
LIT1237Chroni,Chronicle,,Eusebius,,
LIT1238Chroni,Chronicle,,Jacob of Edessa,,
LIT1239Chroni,Chronicle,,John of Nikiu,,
LIT1240Chroni,Chronicle,,Michael the Syrian,,
LIT1241Chroni,Chronicleof Zuqnin,,Pseudo-Dionisius,,
LIT1242Chroni,Chronicle of the Kingdom of Gumma,,Cerulli,,
LIT1243Chroni,"Chronicles, Book of",,,,
LIT1244Chroni,Chronicon,,John of Wintertur,,
LIT1245Kitaba,Kitāb at-tawārīḫ,Chronicon Orientale,,,
LIT1246Chroni,Chronicon Paschale,,,,
LIT1247Chrono,Chronographia,Chronicle,John Malalas,,
LIT1248Chrono,Chronographia,,Photius,,
LIT1249Chrono,Chronographia,,Theophanes,,
LIT1250Confes,Confessio,,Cyprian of Antioch,,
LIT1251Confes,Confessio,,Ṣägga Zäʾab,,
LIT1252Confes,Confessio Claudii,Confessio Fidei,Gälawdewos,,
LIT1253Confes,Confession,,Aššännafi Käbbädä,,
LIT1254Dagemm,Dagǝm mǝṣʾatu läkrǝstos wätǝnśaʾe mǝwǝtan,,,,
LIT1255Dagmaw,Dagmawi Mǝnilǝk nǝguśä nägäśt zäʾityoṗya,,Afäwärq Gäbrä Iyäsus,,
LIT1256Dalail,Dalāʾil al-ḫayrāt,,Abbaa Ǧoobir,,
LIT1257Damyal,Däm yalläš ṭorǝnnät,,Abbe Gubäña,,
LIT1258Dandew,Dandew Ḉäbbude,,Mängǝśtu Lämma,,
LIT1259Daniel,"Daniel, Book of",,,,
LIT1260Darasi,Därasiw,,Bäʿalu Gǝrma,,
LIT1261Dardaa,Dardaaran,,Muḥammad ʿAbdallāh Ḥasan,,
LIT1262Dawite,Dawitǝnna Orya,,Zolveker / Mäkwännǝn Ǝndalkaččäw,,
LIT1263Delkam,Dǝl kämot bäḫwala,,Bǝrhanu Zäryǝhun,,
LIT1264Derreb,Dǝrrǝb ḉǝqqun,,Ayyalnäh Mulatu,,
LIT1265Dersan,Dǝrsan ... bäʾǝntä qǝddǝst fasika,,Gregory of Nazianzos,,
LIT1266Dersan,Dǝrsan ... bäʾǝntä śǝllase fǝkre,,Epiphanios of Salamis,,
LIT1267Dersan,Dǝrsan … bäʾǝntä haymanot,,Epiphanios of Salamis,,
LIT1268Dersan,Dǝrsan bäʾǝntä ʿǝbäyä kǝbra läʾǝgzǝʾǝtǝnä Maryam,Apocalypse of Mary; Dǝrsanä Maryam,,,
LIT1269Dersan,Dǝrsan bäʾǝntä sänbätat,,Rǝtuʿa Haymanot,,
LIT1270Dersan,Dǝrsan bäʾǝntä täzalǝfotä Ayhud wämärgämä Yǝhuda Asqorotawi,,Sǝmʿon,,
LIT1271Dersan,Dǝrsan bäʾǝntä ḍäʾatä näfs,,Theophilos,,
LIT1272Dersan,Dǝrsan dagǝm zäʿǝzra,,,,
LIT1273Dersan,Dǝrsan wägädl zäyared,,,,
LIT1274Dersan,Dǝrsan wätǝmhǝrt zäʾabäwinä ḥawaryat qǝddusan,,,,
LIT1275Dersan,Dǝrsanzäʾabba Yaʿǝqob ṗaṗṗas zähagärä Nǝṣǝbin zäkämä mäṣʾa nǝguśä Fars bämäwaʿǝlihu wǝst hagärä Nǝṣǝbin,,Aphrahat,,
LIT1276Dersan,Dǝrsan zäbǝḍuʿ wäqǝddus abba Basǝlyos ʿeṗisqoṗṗos zäqesarǝya bäʾǝntä ḥǝnḍa betä krǝstiyan,,Basil the Great,,
LIT1277Dersan,Dǝrsan zätewoflos baʾǝntä qǝddus Yoḥannǝs,,,,
LIT1278Dersan,Dǝrsan zäyǝnäggǝr zäkämä täräkbä zenaha läqǝddǝst Maryam,,Cyriacus of Jerusalem,,
LIT1279dersan,dǝrsan,,,,
LIT1280Dersan,Dǝrsanä ab wäwäld wämänfäs Qǝddus,,,,
LIT1281Dersan,Dǝrsanä Abrǝham wäsǝra bägǝbṣ,,Ephrem,,
LIT1282Dersan,Dǝrsanä Afnin,,,,
LIT1283Dersan,Dǝrsanä fäyatay,,John Chrysostom,,
LIT1284Dersan,Dǝrsanä Gäbrǝʾel,,,,
LIT1285Dersan,Dǝrsanä Gärima,Gädlä Abba Gärima,,,
LIT1286Dersan,Dǝrsanä Gärima,,,,
LIT1287Dersan,Dǝrsanä Giyorgis,,,,
LIT1288Dersan,Dǝrsanä ḥǝmamatihu wämotu,,,,
LIT1289Dersan,Dǝrsanä Iyäsus Moʾa,,,,
LIT1290Dersan,Dǝrsanä kidanä mǝḥrät,,,,
LIT1291Dersan,Dǝrsanä maḥyäwi,,,,
LIT1292Dersan,Dǝrsanä mälaʾǝkt,,,,
LIT1293Dersan,Dǝrsanä Maryam,Dǝrsan bäʾǝntä ǝgzǝʾǝtǝnä Maryam wäbäʾǝntä bet zäḫadärät mǝslä fǝqur wäldä bädäbrä Qusqam;Homily on Mount Qusqām,Theophilos of Alexandria,,
LIT1294Dersan,Dǝrsanä Mäṭaʿ,,,,
LIT1295Dersan,Dǝrsanä Mikaʾel,,,,
LIT1296Dersan,Dǝrsanä Raguʾel,,,,
LIT1297Dersan,Dǝrsanä Rufaʾel,,,,
LIT1298Dersan,Dǝrsanä sänbät,,,,
LIT1299Dersan,Dǝrsanä Sawiros,,Severus of Ašmunayn,,
LIT1300Dersan,Dǝrsanä śǝllase,Zena nägäromu läśǝllase,,,
LIT1301Dersan,Dǝrsanä Ṣǝyon,,,,
LIT1302Dersan,"Dǝrsanä Uraʾel,",,,,
LIT1303Dersan,Dǝrsanä Yared,,,,
LIT1304Dersan,Dǝrsanä Yoḥannǝs mäṭmǝq,,,,
LIT1305Dersan,Dǝrsanu ǝmdǝḫrä sǝddätu,,,,
LIT1306Debleq,Dǝblǝqlǝq,,Ṗawlos Ñoñño,,
LIT1307Dialog,Dialogue on the Soul and Resurrection,,Gregory of Nyssa,,
LIT1308Didach,Didache,,,,
LIT1309Didesq,Didǝsqǝlya,Didaskalia;Constitution of the Apostles,,,
LIT1310dikr,ḏikr,"digri,zikri",,,
LIT1311dikral,ḏikr al-mamālik,,,,
LIT1312dikral,ḏikral-tawārīḫ,,,,
LIT1313Discou,"Discourse of the 318 Fathers on the Trinity, eccl.",,,,
LIT1314Disput,Disputation with Herban the Jew,,,,
LIT1315Dodeka,Dodekapropheton,,,,
LIT1316Dogali,Dogʿali,,Ṣäggaye Gäbrä Mädḫǝn,,
LIT1317dua,duʿāʾ,duwā,,,
LIT1318Dukana,Dukanaan Duuba,,Ḍaaba Wayyeessaa,,
LIT1319Durdur,Durdurii,,Gumi Qormaata Afaan Oromoo,,
LIT1320Eccles,Ecclesiastes,,,,
LIT1321Ecloga,Ecloga,,Justinian,,
LIT1322Ecloga,Ecloga,,Leo III,,
LIT1323eddert,Ǝddǝrtäññočču,,Mammo Wǝddǝnäh,,
LIT1324egziab,Ǝgziʾabǝḥeramlakǝnä ab aḫaze kwǝllu läkä nǝsǝbbǝḥakä läkä nǝwǝddǝsäkä,,,,
LIT1325egziab,Ǝgziʾabǝḥernägśä,[nägś]sǝbḥatihu,,,
LIT1326egziab,Ǝgziʾabǝḥernägśä zäʾarke,Mäzmurä fǝśśuḥan wäṣälotä tǝkkuzan,,,
LIT1327egziab,Ǝgziʾabǝḥerzäbǝrhanat,,,,
LIT1328egziet,Ǝgziʾǝtǝnä Maryam,,,,
LIT1329egziom,Ǝgziʾo mäḥaränä Krǝstos,,,,
LIT1330egziom,Ǝgziʾo mi bäzu,,,,
LIT1331egziot,Ǝgziʾo täśähalännä,,,,
LIT1332EightH,Eight Homilies on the Blessings,,Gregory of Nyssa,,
LIT1333Ekloga,Eklogaì hisoriôn,,,,
LIT1334Elench,Elenchos,,Hippolytus,,
LIT1335Apocal,Apocalypse ofElijah,,,,
LIT1336Vision,Vision of Elijah,Raʾǝyä Elyas,,,
LIT1337endawa,Ǝndäwäṭṭačč qärräčč,,Asäffa Gäbrä Maryam,,
LIT1338ennate,Ǝnnatǝnna lǝǧǧ,,Wǝddalat Gädamu,,
LIT1339EnochA,Enoch Apocryphon [Coptic],,,,
LIT1340EnochE,"Enoch, [Ethiopic] Book of","Mäṣḥafä Henok, 1 Enoch",,,
LIT1341EnochH,"Enoch, [Hebrew] Book of",3 Enoch,,,
LIT1342EnochS,"Enoch, [Slavonic] Book of",2 Enoch,,,
LIT1343enquta,Ǝnqutataš,,Pawlos Ñoñño,,
LIT1344enzira,ʿƎnzira sǝbḥat,Arganonä wǝddase,,,
LIT1345Letter,Letter toEpictus Bishop of Corinthos,,Athanasius,,
LIT1346Epilce,Epilcesis,,,,
LIT1347Epipha,Epiphanius anaphora,,,,
LIT1348Epistl,Epistle 70,,Cyprian of Carthage,,
LIT1349Epistl,Epistle to Carpianus,,,,
LIT1350Epistl,Epistle to Emperor Theodosius,,Theophilos of Alexandria,,
LIT1351Epistl,Epistle:The Book of the Epistle,,,,
LIT1352Epistl,Epistles,,,,
LIT1353Epistu,Epistula ad Marcellinum,,Athanasius,,
LIT1354Epistu,Epistula Apostolorum,,,,
LIT1355Epitom,Epitome of the Apostolical Constitutions,,,,
LIT1356eqaban,ʿƎqäbänni,,,,
LIT1357eqaw,Ǝqaw,,Täsfaye Gässäsä,,
LIT1358eqqubt,ʾƎqqubtäññočču,,Mammo Wǝddǝnäh,,
LIT1359esatwa,Ǝsat wäy abäba,,Ṣäggaye Gäbrä Mädḫǝn,,
LIT1360Esdrae,Esdrae Apocalypsis,,,,
LIT1361Esdras,Esdras Graecus,,,,
LIT1362Esther,"Esther, Book of",,,,
LIT1363Ethnik,Ethniká,,Stephanos of Byzantium,,
LIT1364ewnata,Ǝwnät attǝmotǝm,,Afäwärq Yoḥannǝs,,
LIT1365ewqate,Ǝwqätǝn fǝlläga,,Getǝnnät Ǝnnǝyäw,,
LIT1366Examer,Exameron,,Ambrose,,
LIT1367Exodus,Exodusbook,,,,
