ID,Name,First name,Altname,Altname,Altname,Gender,Nationality/Ethnicity,Religion,Relations,Qualifier,Qualifier,Time,Place,Texts related (lookup),MSS related (lookup)
PRS1147Abdalla,ʿAbdallāh Bāmušmuš,,,,,m,,Islam,, merchant ,,,,,
PRS1148Abdalla,ʿAbdallāh bey al-Ġūl ,,,,,m,,Islam,,bey,,,,,
PRS1149Abdalla,ʿAbdallāh “Ðasamóyta” b. ʿAlī,,,,,m,,Islam,, inf. ,,,,,
PRS1150Abdalla,ʿAbdallāh Fawzī,,,,,m,,Islam,, mil. ,,,,,
PRS1151Abdalla,ʿAbdallāh Ḫalīl efendi ,,,,,m,,Islam,,,,,,,
PRS1152Abdalla,ʿAbdallāh Ḥarag,,,,,m,,Islam,, ethn. ,,,,,
PRS1153Abdalla,ʿAbdallāh ʿInān,,,,,m,,Islam,, sch. ,,,,,
PRS1154Abdalla,ʿAbdallāh Sadiq,,,,,m,,Islam,, gov. ,,,,,
PRS1155Abdalla,ʿAbdallāh Šarīf,,ʿAbdallāhi ʿAli Šarīf,,,m,,Islam,, šayḫ ,,,,,
PRS1156Abdalla,ʿAbdallāh ʿUmar b. Ǧibrīl al-Aswām as-Sāḫitī,,,,,m,,Islam,, wr. ,,,,,
PRS1157Abdalla,ʿAbdallāh Ṭāhā,,,,,m,,Islam,, gov. ,,,,,
PRS1158Abdalle,Abdälle,,,,,m,,,, Or. chief ,,,,,
PRS1159Abdalma,ʿAbdalmalik,,,,,m,,Islam,, šayḫ,,,,,
PRS1160Abdalma,ʿAbdalmalik b. Marwān,,,,,m,,Islam,, ḫalīfa ,,,,,
PRS1161Abdalma,ʿAbdalmannān b. Muḥammad,,,,,m,,Islam,, aftal-garād ,,,,,
PRS1162Abdalma,ʿAbdalmasīḥ al-Ḥabašī,,,,,m,,Islam,, monk ,,,,,
PRS1163Abdalmu,ʿAbdalmuhaymin ʿAbdannāṣir,,,,,m,,Islam,, sch. ,,,,,
PRS1164Abdalmu,ʿAbdalmuṭṭalib,,Šaʾiba b. Hašim,,,m,Arabia,Islam, grandfather Muḥammad ,,,,,,
PRS1165Abdalqa,ʿAbdalqader,,,,,m,,Islam,, dipl.  ,,,,,
PRS1166Abdalqa,ʿAbdälqadǝr Käbirä,,,,,m,,Islam,, graz. ,,,,,
PRS1167Abdalqa,ʿAbdalqādir,,,,,m,,Islam,, gov. ,,,Massawa,,
PRS1168Abdalqa,ʿAbdalqādir,,,,,m,,Islam,, šayḫ, agent ,,,,
PRS1169Abdalqa,ʿAbdalqādir II,,,,,m,,Islam,, makk ,,(d. 1606) ,,,
PRS1170Abdalqa,ʿAbdalqādir al-Ǧīlānī,,,,,m,,Islam,, faqīh ,,,,,
PRS1171Abdalqa,ʿAbdalqādir b. Arbāhintá,,,,,m,,Islam,, pol. ,,,,,
PRS1172Abdalqa,ʿAbdalqādir b. Muḥyiddīn,,al-Ǧazayrī,,,m,,Islam,, amīr  ,,,,,
PRS1173Abdalwa,ʿAbdalwahhāb,,,,,m,,Islam,, amīr ,,,,,
PRS1174Abdalyu,ʿAbdalyūsī,,,,,m,,Islam,, merchant ,,,,,
PRS1175Abdanna,ʿAbdannāṣir,,ʿAbdannāṣir Nāṣir[allāh],,,m,,Islam,, gärad ,,,,,
