ESadmy002, Mälkǝʿa gubaʾe, Collection of Images
            ESaqg014, Homily by Theodotus of Ancyra on the commemoration of St. George, for the 23th of Miyazya / Gädlä Giyorgis “Vita of George” / Mäṣḥafä ʾaḫbǝro “Book of the Agreement” / Täʾamrä Giyorgis “Miracles of George” / Mäṣḥafä ʾankǝro “Book of Admiration”
            ESaqg015, Dawit “Psalter”
            ESaqg016, Mäṣḥafä gәṣṣawe, Lectionary for the entire year
            ESaqm001, Gädlä Mamas "Vita of Mamas" / Täʾamrä Mamas "Miracles of Mamas"
            ESaqm002, Gädlä Mamas "Vita of Mamas" /  Täʾamrä Mamas "Miracles of Mamas" / Mälkǝʾa Mamas "Image of Mamas" / Litany for the Holy Week / Täʾamrä ʾIyäsus “Miracles of Jesus”
            ESaqm003, ʾArbaˤtu wängel “Four Gospels”
            ESaqm004, Mäṣḥafä krәstәnna “Book of the Christening”
            ESaqm006, Täʾamrä Maryam "Miracles of Mary" / Täʾamrä Gäbrä Mänfäs Qǝddus "Miracles of Gäbrä Mänfäs Qǝddus" / Täʾamrä Mikaʾel "Miracles of Michael" / Täʾamrä ʾIyäsus "Miracles of Jesus"
            ESaqm007, Täʾamrä ʾIyäsus "Miracles of Jesus"
            ESaqm008, Mäṣḥafä qǝddase “Missal”
            ESaqm009, Mäṣḥafä qǝddase “Missal”
            ESaqm010, Mäṣḥafä gǝnzät “Book of the Funeral Ritual” / Śǝrʿatä mǝnkwǝsǝnna “The Order of the Monastic Profession”
            ESath001, ʾArbaˤtu wängel “Four Gospels”
            ESath002, Gädlä Täklä Haymanot “Vita of Täklä Haymanot” / Mäṣḥafä lǝdätu lä-ʾabunä Täklä Haymanot “Book of the Genealogy of ʾabunä Täklä Haymanot” / Täʾamrä Täklä Haymanot “Miracles of Täklä Haymanot” / Mälkǝʾa Täklä Haymanot “Image of Täklä Haymanot”
            ESath003, Dǝrsanä Mikaʾel, Homiliary for the feasts of St. Michael
            ESath004, Mäṣḥafä krǝstǝnna “Book of the Christening”
            ESath005, Sǝnkǝssar “Synaxarion” (the second half of the year)
            ESath006, Ṣalotä ˤǝṭan “Prayer of Incense”
            ESath007, Mäṣḥafä gәbrä ḥǝmamat “Book of the Rite of the Holy Week”
            ESath008, Täʾamrä Maryam "Miracles of Mary" / Täʾamrä ʾIyäsus "Miracles of Jesus" / Täʾamrä Mikaʾel "Miracles of Michael" / Täʾamrä Gäbrä Mänfäs Qǝddus “Miracles of Gäbrä Mänfäs Qǝddus"
            ESath009, Mäṣḥafä qǝddase “Missal”
            ESath010, Mäftәḥe śәray “Undoing of Charms”
            ESbgy001, Synaxarion (two months)
            ESbgy002, Fәtḥa nägäśt “Justice of the Kings”
            ESbgy003, Täʾamrä ʾIyäsus “Miracles of Jesus”
            ESbgy004, Mäṣḥafä gәbrä ḥǝmamat “Book of the Rite of the Holy Week”
            ESbgy005, Täʾamrä Maryam "Miracles of Mary" / Täʾamrä Mikaʾel "Miracles of Michael" / Täʾamrä ʾIyäsus "Miracles of Jesus"
            ESbgy006, ʾArbaʿtu wängel “Four Gospels”
            ESbgy007, Zǝmmare, Eucharistic hymns
            ESbgy008, Synaxarion (four months)
            ESbgy010, Synaxarion (the second half of the year)
            ESbgy011, Mäṣḥafä gǝnzät “Book of the Funeral Ritual”
            ESbgy012, Discourse by John Chrysostom on the Life and Decollation of John the Baptist / Commemorative notice from the Sǝnkǝssar on the apparition of the bodies of John the Baptist and Prophet Elijah, for the 2nd of Säne / Homily by John Chrysostom on the glory of John the Baptist / Täʾamrä Yoḥannǝs Mäṭmǝq “Miracles of John the Baptist”
            ESbgy013, Dǝrsanä Mikaʾel, Homiliary for the feasts of St. Michael
            ESbgy014, Mäftәḥe śәray “Undoing of Charms”
            ESbhm002, Täʾamrä Maryam "Miracles of Mary"
            ESbma001, Mäṣḥafä qǝddase "Missal"
            ESbma002, Sǝnkǝssar “Synaxarion” (the first half of the year)
            ESbma003, Nägärä Maryam “The Story of Mary”
            ESbma004, Mäṣḥafä gǝnzät “Book of the Funeral Ritual”
            ESbmqm001, Sǝnkǝssar “Synaxarion” (the second half of the year)
